file_x,file_y,decision,VGG-Face_cosine,VGG-Face_euclidean,VGG-Face_euclidean_l2,Facenet_cosine,Facenet_euclidean,Facenet_euclidean_l2,DeepFace_cosine,DeepFace_euclidean,DeepFace_euclidean_l2
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Yes,0.1472,0.3275,0.5425,0.2567,8.6824,0.7166,0.369,69.0953,0.8591
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Yes,0.1428,0.3334,0.5345,0.3593,10.123,0.8477,0.3246,69.0697,0.8057
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Yes,0.1442,0.3246,0.5371,0.2532,8.5303,0.7116,0.3642,66.001,0.8535
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Yes,0.135,0.315,0.5195,0.2885,9.0925,0.7596,0.3602,65.8912,0.8488
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Yes,0.1463,0.3299,0.5409,0.2498,8.4978,0.7069,0.3263,63.5567,0.8079
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Yes,0.1696,0.3551,0.5824,0.2994,9.2302,0.7739,0.3888,70.6217,0.8818
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_16-min.JPG,Yes,0.1596,0.3396,0.565,0.2353,8.2244,0.686,0.3434,65.726,0.8288
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_17-min.JPG,Yes,0.1586,0.3385,0.5632,0.2125,7.8984,0.652,0.3964,68.9596,0.8904
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_18-min.JPG,Yes,0.1547,0.3364,0.5562,0.2541,8.5512,0.7128,0.3503,67.0547,0.837
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_19-min.JPG,Yes,0.1663,0.346,0.5768,0.2731,8.8799,0.739,0.3547,65.3931,0.8422
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_2-min.jpg,Yes,0.3041,0.517,0.7798,0.4785,11.1986,0.9783,0.4504,71.5128,0.9491
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_20-min.JPG,Yes,0.163,0.344,0.571,0.2542,8.5721,0.713,0.3834,68.3812,0.8757
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_3-min.jpg,Yes,0.2346,0.4046,0.6849,0.3735,10.6677,0.8643,0.4404,78.6196,0.9385
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_4-min.jpg,Yes,0.1688,0.3627,0.5811,0.2477,8.6133,0.7038,0.4519,76.4647,0.9507
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_5-min.jpg,Yes,0.1423,0.3266,0.5334,0.1824,7.4229,0.604,0.4544,73.855,0.9533
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_6-min.JPG,Yes,0.1671,0.3507,0.5781,0.3609,10.233,0.8496,0.4083,68.3958,0.9036
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_7-min.JPG,Yes,0.1568,0.3379,0.56,0.2649,8.7819,0.7279,0.3465,65.1703,0.8325
